trade_date,ts_code,close,settle,vol,amount,oi
20200117,AL2003.SHF,14280.0,14280.0,122690.0,876199.8475,133078.0
20200116,AL2003.SHF,14300.0,14105.0,115718.0,816316.705,128880.0
20200115,AL2003.SHF,13970.0,13950.0,66872.0,466453.7075,118102.0
20200114,AL2003.SHF,13930.0,13950.0,73038.0,509563.1925,115646.0
20200113,AL2003.SHF,13960.0,14005.0,95684.0,670129.805,113542.0
20200110,AL2003.SHF,14110.0,14070.0,58991.0,415029.7575,111965.0
20200109,AL2003.SHF,13990.0,14020.0,40444.0,283538.3175,102996.0
20200108,AL2002.SHF,14155.0,14095.0,46057.0,324650.7325,99561.0
20200107,AL2002.SHF,14070.0,14080.0,40460.0,284927.4575,102454.0
20200106,AL2002.SHF,14105.0,14100.0,61253.0,431877.4875,104069.0
20200103,AL2002.SHF,14085.0,14015.0,70834.0,496519.8725,110425.0
20200102,AL2002.SHF,14090.0,14110.0,38578.0,272202.1975,115942.0
20191231,AL2002.SHF,14110.0,14090.0,110898.0,781518.53,238360.0
20191230,AL2002.SHF,14090.0,14095.0,121864.0,859124.825,241638.0
20191227,AL2002.SHF,14075.0,14060.0,146540.0,1030482.12,246994.0
20191226,AL2002.SHF,14055.0,14125.0,147754.0,1043766.725,257698.0
20191225,AL2002.SHF,14235.0,14235.0,121360.0,863788.745,257204.0
20191224,AL2002.SHF,14235.0,14210.0,125606.0,892463.0,258522.0
20191223,AL2002.SHF,14185.0,14200.0,136738.0,971010.02,257810.0
20191220,AL2002.SHF,14175.0,14195.0,120680.0,856581.61,259954.0
20191219,AL2002.SHF,14200.0,14155.0,173970.0,1231529.07,261938.0
20191218,AL2002.SHF,14100.0,14060.0,190234.0,1337623.365,261818.0
20191217,AL2002.SHF,14015.0,13970.0,190228.0,1328863.885,257544.0
20191216,AL2002.SHF,13915.0,13920.0,145712.0,1014176.955,240798.0
20191213,AL2002.SHF,13945.0,13905.0,168728.0,1173108.775,237592.0
20191212,AL2002.SHF,13880.0,13905.0,93430.0,649575.285,220570.0
20191211,AL2002.SHF,13925.0,13920.0,124520.0,866705.505,216774.0
20191210,AL2001.SHF,13990.0,13960.0,101248.0,706736.805,181778.0
20191209,AL2001.SHF,13935.0,13880.0,105966.0,735657.825,187038.0
20191206,AL2001.SHF,13840.0,13875.0,94006.0,652236.985,195564.0
20191205,AL2001.SHF,13930.0,13940.0,77844.0,542605.08,201628.0
20191204,AL2001.SHF,13970.0,13950.0,100752.0,702840.115,204008.0
20191203,AL2001.SHF,13945.0,13950.0,126094.0,879698.07,203396.0
20191202,AL2001.SHF,13950.0,13895.0,157464.0,1094284.36,208592.0
20191129,AL2001.SHF,13885.0,13825.0,142388.0,984359.055,201954.0
20191128,AL2001.SHF,13810.0,13765.0,106162.0,730749.3,202132.0
20191127,AL2001.SHF,13735.0,13735.0,104446.0,717328.835,206072.0
20191126,AL2001.SHF,13755.0,13765.0,98856.0,680568.235,202194.0
20191125,AL2001.SHF,13805.0,13835.0,103218.0,714239.08,205808.0
20191122,AL2001.SHF,13855.0,13840.0,76718.0,531046.815,211188.0
20191121,AL2001.SHF,13865.0,13835.0,141090.0,976220.87,215414.0
20191120,AL2001.SHF,13780.0,13755.0,65378.0,449665.37,230380.0
20191119,AL2001.SHF,13740.0,13750.0,91296.0,627811.205,233872.0
20191118,AL2001.SHF,13795.0,13700.0,114350.0,783500.18,233962.0
20191115,AL2001.SHF,13670.0,13685.0,87362.0,597934.415,227610.0
20191114,AL2001.SHF,13695.0,13725.0,75562.0,518596.405,224654.0
20191113,AL2001.SHF,13745.0,13735.0,77246.0,530646.155,210658.0
20191112,AL1912.SHF,13815.0,13870.0,124304.0,862184.525,186512.0
20191111,AL1912.SHF,13895.0,13965.0,99146.0,692301.005,198082.0
20191108,AL1912.SHF,14030.0,14035.0,130374.0,915173.04,206184.0
20191107,AL1912.SHF,13980.0,13940.0,116136.0,809518.24,207764.0
20191106,AL1912.SHF,13955.0,13955.0,90690.0,632899.555,211220.0
20191105,AL1912.SHF,13965.0,13955.0,90738.0,633238.21,218170.0
20191104,AL1912.SHF,13945.0,13910.0,102628.0,713868.405,223964.0
20191101,AL1912.SHF,13875.0,13840.0,131204.0,908105.79,227408.0
20191031,AL1912.SHF,13840.0,13825.0,75738.0,523645.985,228138.0
20191030,AL1912.SHF,13845.0,13830.0,106942.0,739713.255,229892.0
20191029,AL1912.SHF,13785.0,13775.0,116094.0,799624.395,240290.0
20191028,AL1912.SHF,13825.0,13825.0,88684.0,613218.195,234834.0
20191025,AL1912.SHF,13805.0,13815.0,94144.0,650344.46,234574.0
20191024,AL1912.SHF,13825.0,13815.0,101784.0,703181.775,237312.0
20191023,AL1912.SHF,13790.0,13785.0,59788.0,412101.305,238170.0
20191022,AL1912.SHF,13795.0,13780.0,97068.0,669003.01,241948.0
20191021,AL1912.SHF,13760.0,13825.0,129644.0,896181.545,240832.0
20191018,AL1912.SHF,13850.0,13860.0,87974.0,609875.14,232410.0
20191017,AL1912.SHF,13835.0,13835.0,78636.0,544080.49,235476.0
20191016,AL1912.SHF,13835.0,13800.0,96260.0,664233.51,237442.0
20191015,AL1912.SHF,13765.0,13750.0,93580.0,643569.825,223790.0
20191014,AL1912.SHF,13735.0,13735.0,100412.0,689762.24,220634.0
20191011,AL1912.SHF,13790.0,13820.0,104720.0,723855.375,217342.0
