cal_date,ppi_yoy,ppi_mom,ppi_accu,nt_val,town_val,cnt_val,m0,m1,m2,gdp,pi,si,ti,trade_date,ts_code,close,settle,vol,amount,oi
20181022,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181022.0,AL1812.SHF,14175.0,14125.0,194264.0,1372407.525,241446.0
20181023,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181023.0,AL1812.SHF,14200.0,14170.0,110324.0,781764.075,238178.0
20181024,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181024.0,AL1812.SHF,14250.0,14230.0,161570.0,1149902.64,229738.0
20181025,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181025.0,AL1812.SHF,14255.0,14220.0,175828.0,1250228.52,236984.0
20181026,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181026.0,AL1812.SHF,14170.0,14195.0,165996.0,1178565.51,235046.0
20181029,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181029.0,AL1812.SHF,14190.0,14185.0,186288.0,1321365.47,233302.0
20181030,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181030.0,AL1812.SHF,14085.0,14120.0,174670.0,1233539.46,225142.0
20181031,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181031.0,AL1812.SHF,13960.0,14025.0,209320.0,1468209.92,222356.0
20181101,2.7,-0.2,3.8,102.2,102.2,102.2,70563.3,543498.66,1813175.07,900309.5,64734.0,366000.9,469574.6,20181101.0,AL1812.SHF,13870.0,13915.0,157596.0,1096839.375,219438.0
20181102,2.7,-0.2,3.8,102.2,102.2,102.2,70563.3,543498.66,1813175.07,900309.5,64734.0,366000.9,469574.6,20181102.0,AL1901.SHF,13970.0,13915.0,171044.0,1190300.85,227090.0
20181105,2.7,-0.2,3.8,102.2,102.2,102.2,70563.3,543498.66,1813175.07,900309.5,64734.0,366000.9,469574.6,20181105.0,AL1901.SHF,13895.0,13915.0,93636.0,651513.425,241624.0
20181106,2.7,-0.2,3.8,102.2,102.2,102.2,70563.3,543498.66,1813175.07,900309.5,64734.0,366000.9,469574.6,20181106.0,AL1901.SHF,13915.0,13885.0,106524.0,739594.915,244740.0
20181107,2.7,-0.2,3.8,102.2,102.2,102.2,70563.3,543498.66,1813175.07,900309.5,64734.0,366000.9,469574.6,20181107.0,AL1901.SHF,13915.0,13880.0,122220.0,848432.175,241158.0
20181108,2.7,-0.2,3.8,102.2,102.2,102.2,70563.3,543498.66,1813175.07,900309.5,64734.0,366000.9,469574.6,20181108.0,AL1901.SHF,13945.0,13955.0,147154.0,1026798.15,245644.0
20181109,2.7,-0.2,3.8,102.2,102.2,102.2,70563.3,543498.66,1813175.07,900309.5,64734.0,366000.9,469574.6,20181109.0,AL1901.SHF,13900.0,13915.0,135332.0,941781.6,243268.0
20181112,2.7,-0.2,3.8,102.2,102.2,102.2,70563.3,543498.66,1813175.07,900309.5,64734.0,366000.9,469574.6,20181112.0,AL1901.SHF,13860.0,13870.0,155154.0,1076370.98,253162.0
20181113,2.7,-0.2,3.8,102.2,102.2,102.2,70563.3,543498.66,1813175.07,900309.5,64734.0,366000.9,469574.6,20181113.0,AL1901.SHF,13825.0,13770.0,221438.0,1524954.3,267036.0
20181114,2.7,-0.2,3.8,102.2,102.2,102.2,70563.3,543498.66,1813175.07,900309.5,64734.0,366000.9,469574.6,20181114.0,AL1901.SHF,13720.0,13775.0,130198.0,897006.895,268750.0
20181115,2.7,-0.2,3.8,102.2,102.2,102.2,70563.3,543498.66,1813175.07,900309.5,64734.0,366000.9,469574.6,20181115.0,AL1901.SHF,13785.0,13750.0,135256.0,930054.56,267752.0
20181116,2.7,-0.2,3.8,102.2,102.2,102.2,70563.3,543498.66,1813175.07,900309.5,64734.0,366000.9,469574.6,20181116.0,AL1901.SHF,13760.0,13740.0,149054.0,1024216.005,270780.0
